,Date,Close USDIDR,BI Rate,Inflasi,Close CTRA,Close INDF,Close ASII,Close BSDE,Close ICBP,Close KLBF,Close ITMG,Close JPFA,Close TLKM,Close ULTJ,Close ACES,Close TSPC,Close SMAR,Close SMSM,Close JRPT,Close DUTI,Close EPMT,Close SMCB,Close PWON,Close JSMR
0,Jan 2009,11111.045454545454,8.75,9.17,122.2503866898386,1027.7894736842106,1272.3684210526317,82.51163603130139,517.1052631578947,88.73684210526316,10765.78947368421,84.0,1332.6315789473683,185.26315789473685,68.63157894736842,400.0,1744.2105263157894,137.5,100.0,900.0,345.62780922337583,617.3684210526316,64.55294779727333,965.6332140470806
1,Feb 2009,11827.55,8.25,8.6,149.68880920410157,939.0,1139.5,77.68990859985351,471.5,125.85,9787.5,83.5,1270.5,177.0,63.5,451.25,1624.0,87.875,101.0,900.0,352.78723907470703,550.0,45.78313026428223,940.7966552734376
2,Mar 2009,11833.545454545454,7.75,7.92,164.55937271118165,892.0,1302.75,79.22142906188965,448.25,125.5,9795.0,87.3,1353.0,181.5,65.45,442.25,1624.5,86.875,97.7,861.0,341.1840194702148,533.5,46.98794937133789,887.4216522216797
3,Apr 2009,11047.136363636364,7.5,7.31,207.5733985900879,1076.4,1549.5,127.85884017944336,540.25,143.8,13262.5,97.6,1479.0,182.375,75.2,516.75,1886.5,71.4375,98.4,832.5,472.7694717407227,637.5,56.02409572601319,1049.5419677734376
4,May 2009,10338.0,7.25,6.04,268.1500164213635,1605.3809523809523,1948.809523809524,212.1588178362165,806.1904761904761,173.52380952380952,17826.190476190477,107.85714285714286,1492.3809523809523,160.35714285714286,86.52380952380952,654.7619047619048,3282.1428571428573,113.63095238095238,114.1904761904762,802.3809523809524,567.1117524646577,915.2380952380952,51.57773880731492,1349.6961553664437
5,Jun 2009,10179.522727272728,7.0,3.65,338.3025179776278,1843.4545454545453,2323.181818181818,394.4828075062145,925.681818181818,194.3636363636364,21238.636363636364,125.27272727272728,1516.8181818181818,153.0681818181818,93.22727272727272,641.8181818181819,3382.954545454545,136.64772727272728,125.0909090909091,818.1818181818181,757.2391079989346,1062.7272727272727,71.57721744884144,1604.87773548473
6,Jul 2009,10081.063051970108,6.75,2.71,370.6152556046196,1976.217391304348,2596.7391304347825,530.685314676036,990.6521739130436,214.95652173913044,20789.130434782608,138.6086956521739,1670.8695652173913,151.6304347826087,96.21739130434784,640.8695652173913,3146.7391304347825,140.8695652173913,134.08695652173913,890.4347826086956,843.2459849481997,1275.2173913043478,65.74122420601223,1625.7576851222825
7,Aug 2009,9951.561941964286,6.5,2.75,385.4056671142578,2466.85,2997.75,537.8889175415039,1237.5,264.1,24802.5,167.9,1728.0,154.75,106.75,672.0,3381.25,166.75,143.0,890.0,827.0379669189454,1335.5,89.33734931945801,1770.3538330078125
8,Sep 2009,9821.072709517046,6.5,2.83,365.687493218316,2731.222222222222,3109.1666666666665,601.2639838324653,1371.5277777777778,242.66666666666663,23925.0,168.66666666666666,1691.111111111111,153.88888888888889,117.44444444444444,648.8888888888889,3381.9444444444443,165.55555555555554,148.55555555555554,730.5555555555555,785.6174926757812,1303.3333333333333,115.8634541829427,1806.8794080946184
9,Oct 2009,9458.431862571022,6.5,2.57,341.65426219593394,3083.090909090909,3303.6363636363635,636.2353737571023,1548.2954545454545,259.45454545454544,23606.81818181818,179.72727272727272,1718.1818181818182,149.54545454545453,133.0909090909091,698.1818181818181,3251.1363636363635,171.25,156.0,690.0,791.3530106977983,1572.2727272727273,118.51040441339666,1820.7358287464488
10,Nov 2009,9431.404715401786,6.5,2.41,280.20565567016604,3114.0,3212.25,737.9149017333984,1563.75,256.7,25500.0,249.8,1757.0,147.375,152.9,696.0,2843.75,172.5,153.8,680.0,789.0189025878906,1601.5,119.33734817504885,1843.682098388672
