Date,Close
Jan 2009,11111.045454545454
Feb 2009,11827.55
Mar 2009,11833.545454545454
Apr 2009,11047.136363636364
May 2009,10338.0
Jun 2009,10179.522727272728
Jul 2009,10081.063051970108
Aug 2009,9951.561941964286
Sep 2009,9821.072709517046
Oct 2009,9458.431862571022
Nov 2009,9431.404715401786
Dec 2009,9518.732634171196
Jan 2010,9254.904761904761
Feb 2010,9353.15
Mar 2010,9144.617484714674
Apr 2010,9029.45458984375
May 2010,9194.44763764881
Jun 2010,9147.522682883522
Jul 2010,9019.345392400568
Aug 2010,8919.81582919034
Sep 2010,8972.595569957386
Oct 2010,8910.12853422619
Nov 2010,8888.438698508522
Dec 2010,9000.713145380434
Jan 2011,8989.61193266369
Feb 2011,8865.700048828125
Mar 2011,8739.630519701086
Apr 2011,8637.030078125
May 2011,8541.75235262784
Jun 2011,8551.227317116478
Jul 2011,8523.476236979166
Aug 2011,8478.382642663044
Sep 2011,8695.25692471591
Oct 2011,8826.442894345239
Nov 2011,8975.89786044034
Dec 2011,9043.009144176136
Jan 2012,9050.613636363636
Feb 2012,8977.121419270834
Mar 2012,9125.111372514204
Apr 2012,9143.085751488095
May 2012,9210.11086107337
Jun 2012,9381.326218377977
Jul 2012,9407.525035511364
Aug 2012,9461.413001019022
Sep 2012,9524.592529296875
Oct 2012,9561.4130859375
Nov 2012,9579.440962357954
Dec 2012,9607.8224609375
Jan 2013,9630.395635190218
Feb 2013,9649.655029296875
Mar 2013,9668.426199776786
Apr 2013,9687.313742897728
May 2013,9721.106530230978
Jun 2013,9799.567529296875
Jul 2013,9986.550059442934
Aug 2013,10500.09090909091
Sep 2013,11263.761904761905
Oct 2013,11210.56591796875
Nov 2013,11162.800037202382
Dec 2013,11590.970481178978
Jan 2014,12035.478260869566
Feb 2014,11834.6
Mar 2014,11425.952380952382
Apr 2014,11421.09090909091
May 2014,11507.045454545454
Jun 2014,11879.190476190477
Jul 2014,11666.130434782608
Aug 2014,11709.619047619048
Sep 2014,11874.0
Oct 2014,12133.173913043478
Nov 2014,12146.9
Dec 2014,12422.739130434782
Jan 2015,12527.772727272728
Feb 2015,12735.15
Mar 2015,13034.045454545454
Apr 2015,12938.136363636364
May 2015,13082.761904761905
Jun 2015,13282.5
Jul 2015,13351.608695652174
Aug 2015,13690.0
Sep 2015,14343.954545454546
Oct 2015,13761.0
Nov 2015,13612.095238095239
Dec 2015,13813.521739130434
Jan 2016,13840.714285714286
Feb 2016,13499.952380952382
Mar 2016,13122.95652173913
Apr 2016,13147.952380952382
May 2016,13395.454545454546
Jun 2016,13334.272727272728
Jul 2016,13101.619047619048
Aug 2016,13145.391304347826
Sep 2016,13114.045454545454
Oct 2016,13015.238095238095
Nov 2016,13317.045454545454
Dec 2016,13414.545454545454
Jan 2017,13352.227272727272
Feb 2017,13330.6
Mar 2017,13332.391304347826
Apr 2017,13290.65
May 2017,13317.130434782608
Jun 2017,13294.772727272728
Jul 2017,13332.8
Aug 2017,13332.173913043478
Sep 2017,13300.666666666666
Oct 2017,13517.90909090909
Nov 2017,13515.52380952381
Dec 2017,13548.0
Jan 2018,13384.739130434782
Feb 2018,13579.65
Mar 2018,13749.045454545454
Apr 2018,13799.361886160714
May 2018,14071.204313858696
Jun 2018,13988.733351934523
Jul 2018,14407.45907315341
Aug 2018,14551.126061480978
Sep 2018,14864.539990234374
Oct 2018,15215.069548233696
Nov 2018,14706.372736150568
Dec 2018,14525.519019717261
Jan 2019,14182.652216372282
Feb 2019,14027.035009765625
Mar 2019,14213.799990699405
Apr 2019,14145.931818181818
May 2019,14387.613636363636
Jun 2019,14248.325
Jul 2019,14073.09132982337
Aug 2019,14256.91357421875
Sep 2019,14131.795200892857
Oct 2019,14135.517408288044
Nov 2019,14019.369419642857
Dec 2019,13989.823109019886
Jan 2020,13679.382218070652
Feb 2020,13758.868310546875
Mar 2020,15119.265092329546
Apr 2020,15782.95166015625
May 2020,14885.244233630952
Jun 2020,14184.576216264204
Jul 2020,14516.47066066576
Aug 2020,14641.914109002977
Sep 2020,14803.13370028409
Oct 2020,14717.467151988636
Nov 2020,14187.21763392857
Dec 2020,14101.688688858696
Jan 2021,14015.51939174107
Feb 2021,13999.608935546876
Mar 2021,14379.493248980978
Apr 2021,14561.077281605114
May 2021,14333.952334449405
Jun 2021,14364.231800426136
Jul 2021,14543.386363636364
Aug 2021,14406.072709517046
Sep 2021,14270.022771661932
Oct 2021,14194.085704985118
Nov 2021,14285.522771661932
Dec 2021,14323.856572690218
Jan 2022,14339.842866443452
Feb 2022,14352.955029296874
Mar 2022,14343.604364809782
Apr 2022,14382.047665550595
May 2022,14571.081809303978
Jun 2022,14681.790882457386
Jul 2022,14980.67615327381
Aug 2022,14825.069590692934
Sep 2022,14973.404474431818
Oct 2022,15409.561941964286
Nov 2022,15649.072709517046
Dec 2022,15576.140935724432
Jan 2023,15253.118208451704
Feb 2023,15137.84501953125
Mar 2023,15287.443444293478
Apr 2023,14885.25
May 2023,14818.756538722826
Jun 2023,14935.613636363636
Jul 2023,15044.076171875
Aug 2023,15251.617399796196
Sep 2023,15361.919038318452
Oct 2023,15734.050026633522
Nov 2023,15558.590864701704
Dec 2023,15460.961960565477
